Crash ID,Crash Date and Time,Hour of Day,Day of the week,Crash Type,Crash Severity,Property Damage Crash Indicator,Property Damage Indicator,Alcohol Involved,Aggressive Driver Involved,Bicycle Involved,Cell Phone Involved,Animal Involved,Animal Type,Drug Involved,Crash Location,Latitude,Longitude,YTD Indicator,ObjectID
3293142,9/24/2024 8:55:00 PM,16,3,Rear End,Possible Injury (C),No,No,No,Yes,No,No,No,,No, EASTERN AVE SE &  GRIGGS ST SE,42.9301643972358,-85.6482838512074,YTD,21
3293141,9/13/2024 9:30:00 PM,17,6,Other,No Injury (O),Yes,No,No,Yes,No,No,No,,No, US-131   &  BURTON ST SW,42.9277825398641,-85.6816783278557,YTD,22
3293140,9/12/2024 7:30:00 PM,15,5,Single Motor Vehicle,Suspected Minor Injury (B),No,No,No,No,Yes,No,No,,No, BROADWAY AVE NW   &  LEONARD ST SW  ,0,0,YTD,23
3293139,9/26/2024 2:07:00 PM,10,5,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 28TH ST SE &  EAST PARIS AVE SE,42.9125379955801,-85.570063060453,YTD,24
3293138,9/16/2024 8:46:00 AM,4,2,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, THOMAS ST SE &  NELAND AVE SE,42.9501130808251,-85.6442198500083,YTD,25
3293137,9/25/2024 8:40:00 PM,16,4,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, MICHIGAN ST NW &  SCRIBNER AVE NW,42.9705363909614,-85.6773992726721,YTD,26
3293136,9/15/2024 11:30:00 PM,19,1,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 28TH ST SE &  KALAMAZOO AVE SE,42.9126353550074,-85.627378689167,YTD,27
3293134,9/24/2024 2:15:00 PM,10,3,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, FULLER AVE NE &  MICHIGAN ST NE,42.9699223175915,-85.6397116368762,YTD,28
3293133,9/12/2024 8:05:00 PM,16,5,Rear End,Suspected Serious Injury (A),No,No,No,Yes,No,No,No,,No, 28TH ST SE &  MADISON AVE SE,42.9128334907841,-85.655924123313,YTD,29
3293132,9/25/2024 10:30:00 PM,18,4,Sideswipe-Same,Possible Injury (C),No,No,No,Yes,No,No,No,,No, PLYMOUTH AVE NE &  LEONARD ST NE,42.9837537308507,-85.6251517845416,YTD,30
3293131,9/14/2024 7:21:00 PM,15,7,Other,Suspected Minor Injury (B),No,No,Yes,No,No,No,No,,No, GRIGGS ST SE &  EASTERN AVE SE,0,0,YTD,31
3293130,9/21/2024 3:56:00 PM,11,7,Other,No Injury (O),Yes,No,No,Yes,No,No,No,,No, DIAMOND AVE NE &  BURKE AVE NE,0,0,YTD,32
3293129,9/26/2024 3:41:00 PM,11,5,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, FULLER AVE NE &  RACE ST NE,42.9723323939523,-85.6397552392441,YTD,33
3293128,9/16/2024 7:24:00 PM,15,2,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, WEALTHY ST SE &  HOLLISTER AVE SE,42.9555774154757,-85.6478006917042,YTD,34
3293127,9/14/2024 6:00:00 AM,2,7,Single Motor Vehicle,Possible Injury (C),No,No,No,No,No,No,No,,No, RAMP 009E   &  BURTON ST SW,42.9276395830614,-85.6830991048579,YTD,35
3293126,9/17/2024 11:23:00 AM,7,3,Single Motor Vehicle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, DAWSON AVE NE &  KNAPP ST NE,42.9989757354825,-85.6385293490297,YTD,36
3293125,9/17/2024 1:26:00 PM,9,3,Rear End,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, LEONARD ST NE &  BALL AVE NE,42.9844436996779,-85.6296992004068,YTD,37
3293124,9/12/2024 9:45:00 PM,17,5,Single Motor Vehicle,No Injury (O),Yes,No,No,No,No,No,No,,No, COURTNEY ST NW &  VALLEY AVE NW,0,0,YTD,38
3293123,9/23/2024 1:20:00 PM,9,2,Other,No Injury (O),Yes,No,No,Yes,No,No,No,,No, ROSEWOOD AVE SE &  JOHNSTON ST SE,42.929251028337,-85.626551743665,YTD,39
3293122,9/25/2024 12:51:00 PM,8,4,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, ELMDALE ST NE &  BENJAMIN AVE NE,43.0247641698097,-85.6367098059271,YTD,40
3293121,9/22/2024 6:27:00 PM,14,1,Head On-Left Turn,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, LARAWAY PLZ SE &  EASTERN AVE SE,42.9114185005101,-85.6470055266515,YTD,41
3293120,9/12/2024 9:15:00 PM,17,5,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, FULLER AVE   &  FOUNTAIN ST  ,0,0,YTD,42
3293119,9/14/2024 7:21:00 PM,15,7,Head On-Left Turn,Suspected Serious Injury (A),No,No,Yes,Yes,No,No,No,,No, GRIGGS ST SE &  EASTERN AVE SE,42.9309600139224,-85.6483777400311,YTD,43
3293118,9/17/2024 2:25:00 AM,22,2,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, WIDDICOMB AVE NW &  LEONARD ST NW,42.9849407324708,-85.6917595314829,YTD,44
3293117,9/16/2024 12:10:00 PM,8,2,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No,E FULTON ST  &  UNION AVE SE,42.9629247953629,-85.6545946725313,YTD,45
3293115,9/24/2024 2:15:00 PM,10,3,Rear End,No Injury (O),Yes,No,No,No,No,No,No,,No, FRANKLIN ST SE &  SHELDON AVE SE,42.9486905452905,-85.6657288036237,YTD,46
3293114,9/17/2024 3:14:00 PM,11,3,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 28TH ST SE &  KALAMAZOO AVE SE,42.9126402811432,-85.6285646184037,YTD,47
3293113,9/23/2024 3:53:00 AM,23,1,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LAKE MICHIGAN DR NW &  SEWARD AVE NW,42.9661284613826,-85.6823269557745,YTD,48
3293112,9/12/2024 6:50:00 PM,14,5,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No,E BELTLINE AVE NE &  LEONARD ST NE,42.9842750148891,-85.5903472007062,YTD,49
3293111,9/14/2024 5:00:00 AM,1,7,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, BUCHANAN AVE SW &  ANDRE ST SW,42.9257733250596,-85.6714752982414,YTD,50
3293110,9/14/2024 7:49:00 AM,3,7,Single Motor Vehicle,Suspected Serious Injury (A),No,No,Yes,Yes,No,No,No,,No, BUTTERWORTH ST SW &  E I 196  ,42.9573459374787,-85.7055921821468,YTD,51
3293109,9/26/2024 12:30:00 PM,8,5,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, WEALTHY ST SE &  COLLEGE AVE NE,42.9557177060495,-85.6566258452672,YTD,52
3293108,9/16/2024 9:30:00 PM,17,2,Sideswipe-Same,Possible Injury (C),No,No,No,No,No,No,No,,No, ALPINE AVE NW &  12TH ST NW,42.9830890375155,-85.6879953563285,YTD,53
3293107,9/14/2024 4:40:00 PM,12,7,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, LOGAN ST SE &  EUREKA AVE SE,42.9537315794784,-85.6456871995339,YTD,54
3293106,9/26/2024 2:38:00 PM,10,5,Other,Suspected Minor Injury (B),No,No,No,No,No,No,No,,No, KALAMAZOO AVE SE &  ARDMORE ST SE,42.9280602429182,-85.6344225656688,YTD,55
3293105,9/16/2024 5:51:00 PM,13,2,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, OAKES ST SW &  MARKET AVE SW,42.9609358741928,-85.6749582330461,YTD,56
3293104,9/26/2024 3:39:00 PM,11,5,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, WEALTHY ST SW   &  DIVISION AVE S  ,0,0,YTD,57
3293103,9/16/2024 5:49:00 PM,13,2,Angle,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, MATILDA ST NE &  LAFAYETTE AVE NE,42.9793875472035,-85.6620071212526,YTD,58
3293102,9/16/2024 4:11:00 PM,12,2,Sideswipe-Same,Possible Injury (C),No,No,No,No,No,No,No,,No, MICHIGAN ST NW &  OTTAWA AVE NW,42.9704292097202,-85.6700981282075,YTD,59
3293101,9/11/2024 6:14:00 PM,14,4,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, MARKET AVE SW & W FULTON ST ,42.9629611224026,-85.6736189150996,YTD,60
3293100,9/14/2024 10:06:00 AM,6,7,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, HALL ST SW &  RAMP 010B  ,0,0,YTD,61
3293099,9/13/2024 1:00:00 PM,9,6,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, S US 131   &  RAMP 009C  ,42.932497611542,-85.6811055166768,YTD,62
3293098,9/14/2024 4:00:00 PM,12,7,Backing,No Injury (O),Yes,No,No,No,No,No,No,,No, LENOX RD SE &  ELMWOOD DR SE,42.9366189482099,-85.6177713673869,YTD,63
3293097,9/17/2024 5:35:00 PM,13,3,Sideswipe-Same,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, EAST BELTLINE AVE NE &  KNAPP ST NE,0,0,YTD,64
3293096,9/24/2024 7:01:00 PM,15,3,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, ELM ST SW &  BUCHANAN AVE AVE SW,42.9306658294354,-85.6711613374704,YTD,65
3293095,9/25/2024 6:05:00 PM,14,4,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, MADISON AVE SE &  BURTON ST SE,42.9274231697986,-85.6579447443783,YTD,66
3293094,9/26/2024 1:08:00 PM,9,5,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, LAFAYETTE AVE SE &  SYCAMORE ST SE,42.9504943512092,-85.6617472972283,YTD,67
3293093,9/13/2024 4:30:00 PM,12,6,Other,No Injury (O),Yes,No,No,No,No,No,No,,No, E FULTON ST.   &  DIAMOND AVE SE  ,0,0,YTD,68
3293092,9/23/2024 11:44:00 AM,7,2,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, MICHIGAN ST NW &  MONROE AVE NW,42.9704018430355,-85.6714798169141,YTD,69
3293091,9/12/2024 9:34:00 PM,17,5,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, COLDBROOK ST NW &  PLAINFIELD AVE NE,42.9822543158676,-85.6683117991607,YTD,70
3293090,9/16/2024 11:58:00 AM,7,2,Head On-Left Turn,No Injury (O),Yes,No,No,Yes,No,No,No,,No, WOODLAWN AVE SE &  BURTON ST SE,42.9270460652267,-85.5992938380346,YTD,71
3293089,9/22/2024 9:10:00 PM,17,1,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 28TH ST SE &  KALAMAZOO AVE SE,42.912646897728,-85.6293096605049,YTD,72
3293088,9/15/2024 3:45:00 AM,23,7,Single Motor Vehicle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, FULLER AVE SE &  LAKE DR SE,42.9584296054567,-85.6398548948527,YTD,73
3293087,9/14/2024 2:00:00 AM,22,6,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, PLAINFIELD AVE NE &  ELMDALE ST NE,0,0,YTD,74
3293086,9/22/2024 7:37:00 PM,15,1,Single Motor Vehicle,Possible Injury (C),No,Yes,No,Yes,No,No,No,,No, US-131   &  HALL ST SW,42.9363591238349,-85.6800159987346,YTD,75
3293085,9/24/2024 11:44:00 AM,7,3,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, DIAMOND AVE NE &  SWEET ST NE,42.9917376998044,-85.6448145877442,YTD,76
3293084,9/16/2024 7:13:00 AM,3,2,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, WESTON ST  &  COMMERCE AVE AVE ,42.9622468793813,-85.6691772826249,YTD,77
3293083,9/21/2024 7:10:00 PM,15,7,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 28TH ST SE &  LAKE EASTBROOK BLVD SE,42.9125307152535,-85.5733023248254,YTD,78
3293082,9/13/2024 12:58:00 PM,8,6,Head On-Left Turn,No Injury (O),Yes,No,No,Yes,No,No,No,,No, ANN ST NW &  TURNER AVE NW,42.9956970230091,-85.6769112746782,YTD,79
3293081,9/17/2024 1:25:00 AM,21,2,Angle,Possible Injury (C),No,No,Yes,Yes,No,No,No,,No, COIT AVE NE &  GRACELAND ST NE,43.0013714646852,-85.6645967895059,YTD,80
3293080,9/17/2024 3:20:00 PM,11,3,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, BURTON ST SE &  BLAINE AVE SE,42.9272623293134,-85.6431511912835,YTD,81
3293079,9/17/2024 10:00:00 AM,6,3,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, EDNA ST SE &  KALAMAZOO AVE SE,42.9217227384384,-85.6338844989147,YTD,82
3293078,9/12/2024 8:37:00 PM,16,5,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, WEALTHY/SW ST  &  MARKET AVE/SW AVE ,42.956083786364,-85.6797005912208,YTD,83
3293077,9/12/2024 7:20:00 PM,15,5,Head On-Left Turn,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No,W FULTON ST  &  SEWARD AVE NW,42.9634141735375,-85.6825867014664,YTD,84
3293076,9/11/2024 2:00:00 PM,10,4,Backing,No Injury (O),Yes,No,No,No,No,No,No,,No, PEARL ST NW &  FRONT AVE NW,0,0,YTD,85
3293075,9/15/2024 8:25:00 PM,16,1,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LEONARD ST NW &  TURNER AVE NW,42.9848677043524,-85.6775562941035,YTD,86
3293074,9/14/2024 7:08:00 AM,3,7,Other,Possible Injury (C),No,No,Yes,Yes,No,No,No,,No, BROADWAY AVE NW &  LEONARD ST NW,42.9849200016908,-85.6787640824132,YTD,87
3293073,9/13/2024 3:09:00 AM,23,5,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, CROFTON ST SW &  ROOSEVELT AVE SW,42.9351727494507,-85.6854748929218,YTD,88
3293072,9/12/2024 1:18:00 PM,9,5,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, BRIDGE ST NW &  SCRIBNER AVE NW,42.9705171978143,-85.6766943502025,YTD,89
3293071,9/15/2024 4:20:00 AM,0,1,Single Motor Vehicle,Suspected Serious Injury (A),No,No,Yes,Yes,No,No,No,,No, ROSEMARY ST SE & S DIVISION AVE ,42.91600234753,-85.6660644704472,YTD,90
3293070,9/24/2024 1:38:00 PM,9,3,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, MARTIN LUTHER KING JR ST SE   &  DIVISION AVE S  ,42.9487290315311,-85.6674605885563,YTD,91
3292085,9/7/2024 11:35:00 PM,19,7,Backing,Possible Injury (C),No,No,No,No,No,No,No,,No, MONROE AVE NW &  MONROE AVE ,42.9740941699953,-85.6724778464745,YTD,92
3292084,9/3/2024 7:00:00 PM,15,3,Rear End,Possible Injury (C),No,No,No,Yes,No,No,No,,No, KNAPP ST NE &  ST JOHNS HOME DR NE,42.9988242556593,-85.6117874891316,YTD,93
3292083,9/11/2024 10:00:00 PM,18,4,Other,No Injury (O),Yes,No,No,No,No,No,No,,No, MARKET AVE SW  &  WESTON STSW SW ,42.9621512456049,-85.6741494794809,YTD,94
3292082,9/13/2024 3:40:00 PM,11,6,Single Motor Vehicle,Suspected Serious Injury (A),No,No,Yes,No,No,No,No,,Yes, BURTON ST SE &  CALVIN AVE SE,42.9271617654022,-85.6350814471269,YTD,95
3292081,9/10/2024 11:55:00 AM,7,3,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, E I 196   &  N US 131  ,42.9729859476898,-85.6784970251645,YTD,96
3292080,9/4/2024 9:11:00 PM,17,4,Other,No Injury (O),Yes,No,No,No,No,No,No,,No, ALEWA DR NW &  LAKE MICHIGAN DR DR NW,42.9712587656204,-85.7388527701845,YTD,97
3292079,9/10/2024 11:55:00 AM,7,3,Sideswipe-Opposite,No Injury (O),Yes,No,No,Yes,No,No,No,,No, BURTON ST SW &  PALACE AVE SW,42.9276661935238,-85.6749999740167,YTD,98
3292078,9/11/2024 9:35:00 AM,5,4,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, LAKE MICHIGAN DR NW &  COVELL AVE NW,42.9713039260219,-85.7171044893546,YTD,99
3292077,9/11/2024 12:53:00 AM,20,3,Single Motor Vehicle,No Injury (O),Yes,No,No,No,No,No,Yes,Deer,No, LAKE MICHIGAN DR NW &  COLLINDALE AVE NW,42.9717871625692,-85.7371780954836,YTD,100
3292076,9/9/2024 11:40:00 PM,19,2,Angle,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, ANN ST NE &  MONROE AVE NE,42.9955179707943,-85.6706224038192,YTD,101
3292075,9/1/2024 6:00:00 AM,2,1,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, GRIGGS ST SW &  DIVISION AVE S,42.9312118953781,-85.6681318285929,YTD,102
3292074,9/9/2024 4:00:00 PM,12,2,Rear End,Possible Injury (C),No,No,No,Yes,No,No,No,,No, 28TH ST SE &  BROADMOOR AVE SE,42.9125265079953,-85.5758088911425,YTD,103
3292073,9/5/2024 5:05:00 PM,13,5,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, EAST PARIS AVE SE &  EMBASSY DR SE,42.9172849432383,-85.5689557172228,YTD,104
3292072,9/4/2024 7:40:00 PM,15,4,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, BUCHANAN AVE SW &  KIRTLAND ST SW,42.9247622894269,-85.6714239193983,YTD,105
3292071,8/31/2024 5:00:00 PM,13,7,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, EASTERN AVE SE &  GRIGGS ST SE,42.9309021366842,-85.6483529013011,YTD,106
3292070,9/9/2024 10:32:00 PM,18,2,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, FULTON ST E &  PROSPECT AVE NE,42.9630407996964,-85.6601708346372,YTD,107
3292069,9/9/2024 10:44:00 PM,18,2,Single Motor Vehicle,Suspected Minor Injury (B),No,No,No,No,No,No,No,,No, MICHIGAN ST NE &  BRIAR LN NE,42.9699526759033,-85.6215853683554,YTD,108
3292068,8/30/2024 7:05:00 PM,15,6,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, BURTON ST SW &  PALACE AVE SW,42.9276600346315,-85.6745510266652,YTD,109
3292067,9/12/2024 12:30:00 AM,20,4,Other,No Injury (O),Yes,No,No,No,No,No,No,,No, KALAMAZOO AVE SE &  SHANGRAI LA DR SE,42.9107743108226,-85.6275322159124,YTD,110
3292066,9/12/2024 10:50:00 AM,6,5,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LEXINGTON AVE NW &  DOUGLAS ST NW,42.9697605509048,-85.6839213892615,YTD,111
3292065,9/8/2024 9:29:00 PM,17,1,Backing,No Injury (O),Yes,No,No,No,No,No,No,,No, KIRTLAND ST SW &  DIVISION AVE S,42.9248572411775,-85.6666317381845,YTD,112
3292064,9/9/2024 3:07:00 AM,23,1,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, CUTLER ST SW &  CLYDE PARK AVE SW,42.9260821687241,-85.6850367889548,YTD,113
3292063,9/9/2024 1:18:00 AM,21,1,Sideswipe-Same,No Injury (O),Yes,No,Yes,No,No,No,No,,No, BRETON RD SE &  WOODMEADOW DR SE,42.916335464836,-85.6083730324961,YTD,114
3292062,9/10/2024 1:42:00 PM,9,3,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, MAIN ST NE & E BELTLINE AVE NE,43.0010631530326,-85.5904706372357,YTD,115
3292061,9/5/2024 7:00:00 PM,15,5,Rear End,Suspected Serious Injury (A),No,No,No,Yes,No,No,No,,No,S CLYDE PARK AVE  & W BELFIELD ST ,42.9250545838689,-85.6861216991945,YTD,116
3292060,9/5/2024 7:23:00 PM,15,5,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, BRETON RD SE &  AUTUMN ASH DR SE,42.8895495617955,-85.6066615610916,YTD,117
3292059,9/10/2024 12:05:00 PM,8,3,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LEONARD ST  NW &  ALPINE AVE  NW,42.9852465999985,-85.688133850405,YTD,118
3292058,9/3/2024 9:37:00 PM,17,3,Single Motor Vehicle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, EASTERN AVE SE &  28TH ST SE,0,0,YTD,119
3292057,9/5/2024 3:45:00 PM,11,5,Single Motor Vehicle,Suspected Minor Injury (B),No,No,No,No,Yes,No,No,,No, BURTON ST SE &  EASTERN AVE SE,42.9273372994879,-85.6480199889436,YTD,120
3292056,9/4/2024 9:45:00 PM,17,4,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, ALPINE AVE NW &  11TH ST NW,42.9819015055593,-85.6879629506847,YTD,121
3292055,9/4/2024 8:45:00 PM,16,4,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, PARKHURST AVE NW &  LEONARD ST NW,42.986021675566,-85.7152044563974,YTD,122
3292054,9/5/2024 9:30:00 AM,5,5,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, SIGSBEE ST SE &  DIAMOND AVE AVE SE,42.9546266679997,-85.6438050515277,YTD,123
3292053,9/9/2024 6:35:00 PM,14,2,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, 28TH ST SE &  EASTERN AVE  SE,42.9127963895631,-85.646328140432,YTD,124
3292052,9/4/2024 8:00:00 PM,16,4,Angle,No Injury (O),Yes,No,No,No,No,No,No,,No, TAYLOR AVE NE &  GROVE ST NE,42.9874240140996,-85.6686497377959,YTD,125
3292051,9/3/2024 7:57:00 PM,15,3,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No,E FULTON ST  &  BEL AIR DR NE,42.9627724511424,-85.6109856533364,YTD,126
3292050,9/13/2024 8:20:00 PM,16,6,Rear End,No Injury (O),Yes,No,No,Yes,No,No,No,,No, N US 131   &  RAMP 009B  ,42.9316487921162,-85.6810541719436,YTD,127
3292049,9/13/2024 6:30:00 PM,14,6,Sideswipe-Same,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, N US 131   &  RAMP 010A  ,42.9332585335856,-85.6807948588117,YTD,128
3292048,9/7/2024 7:55:00 PM,15,7,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No,S DIVISION AVE  &  DETROIT ST SW,42.9210163099627,-85.66636640244,YTD,129
3292047,8/31/2024 2:30:00 PM,10,7,Other,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No, EASTERN AVE SE &  EVERGREEN ST SE,42.9362371030051,-85.6488113580528,YTD,130
3292046,9/8/2024 10:18:00 PM,18,1,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No,E BELTLINE AVE NE &  LEONARD ST NE,42.9843621212403,-85.5903471338356,YTD,131
3292045,9/2/2024 3:05:00 AM,23,1,Rear End,No Injury (O),Yes,No,Yes,No,No,No,No,,No, GRAND AVE NE &  FOUNTAIN ST NE,42.9651341636467,-85.6523147597238,YTD,132
